iata,icao
KS,NLA
KT,SVB
KU,KAC
KV,SKV
KW,KEA
KX,CAY
KY,KNA
KZ,NCA
L2,LYC
L3,JOS
L5,TLB
L6,MAI
L7,LAE
L9,BTZ
LA,LAN
LD,AHK
LF,VTE
LG,LGL
LH,DLH
LI,LIA
LJ,JNA
LK,LLL
LL,BSK
LM,LOG
LN,LAA
LO,LOT
LP,LPE
LQ,MKR
LR,LRC
LS,EXS
LT,SNG
LU,LXP
LW,RYR
LX,SWR
LY,ELY
M0,MNG
M4,MSA
M6,AJT
M7,MAA
M8,MSJ
M9,MSI
MB,MNB
ME,MEA
MF,CXA
MH,MAS
MI,SLK
MJ,JNH
MK,MAU
MM,APJ
MN,CAW
MP,MPH
MQ,ENY
MR,MML
MS,MSR
MT,TCX
MU,CES
MV,MAR
MW,MHO
MY,MWG
MZ,AHX
N0,NBT
N2,JCT
N3,MAF
N5,MDM
N6,NMD
N7,NEP
N8,NCR
NA,NMA
NC,NAC
NE,NMA
NF,AVN
NH,ANA
NI,PGA
NK,NKS
NL,SAI
NM,NZM
NN,MOV
NO,NOS
NP,NIA
NQ,AJX
NR,MHK
NS,HBH
NT,IBB
NU,JTA
NV,IRG
NW,DAL
NX,AMU
NY,FXI
NZ,ANZ
O4,ABV
O6,ONE
O8,SQM
O9,NOV
OA,OAL
OB,BOV
OC,ORC
OD,MXD
OF,OLA
OG,TFR
OH,JIA
OI,HND
OJ,FJM
OK,CSA
OL,PAO
OM,MGL
ON,RON
OO,SKW
OQ,CQN
OR,TFL
OS,AUA
OU,CTN
OV,OMS
OW,SEW
OX,OEA
OZ,AAR
P0,PFZ
P2,XAK
P3,CLU
P5,RPB
P6,PVG
P7,LLP
PA,ABQ
PC,PGT
PD,POE
PF,SIF
PG,BKP
PI,RKA
PJ,SPM
PK,PIA
PL,SOA
PM,CNF
PO,PAC
PP,PJS
PR,PAL
PS,AUI
PT,PDT
PQ,SQP
PU,PUE
PW,PRF
PX,ANG
PY,SLM
PZ,LAP
Q2,DQA
Q3,AXL
Q5,MLA
Q6,VOC
Q7,DHA
QB,QSM
QC,CRC
QD,JCC
QF,QFA
QG,CTV
